SystemCodeNumber,Capacity,Occupancy,LastUpdated,occupancy_rate
BHMNCPPLS01,450,76,2016-10-04 07:46:28,0.1688888888888889
BHMBCCMKT01,577,61,2016-10-04 07:59:42,0.10571923743500866
BHMBCCPST01,317,93,2016-10-04 07:59:42,0.29337539432176657
BHMBCCSNH01,863,177,2016-10-04 07:59:42,0.20509849362688296
BHMBCCTHL01,387,120,2016-10-04 07:59:42,0.31007751937984496
BHMBRCBRG01,1010,70,2016-10-04 07:59:42,0.06930693069306931
BHMBRCBRG02,1194,79,2016-10-04 07:59:42,0.0661641541038526
BHMBRCBRG03,849,66,2016-10-04 07:59:42,0.07773851590106007
BHMEURBRD01,470,117,2016-10-04 07:59:42,0.24893617021276596
BHMEURBRD02,220,61,2016-10-04 07:59:42,0.2772727272727273
BHMMBMMBX01,687,264,2016-10-04 07:59:42,0.38427947598253276
BHMNCPHST01,1200,237,2016-10-04 07:59:42,0.1975
BHMNCPLDH01,720,377,2016-10-04 07:59:42,0.5236111111111111
BHMNCPNHS01,500,80,2016-10-04 07:59:42,0.16
BHMNCPNST01,485,249,2016-10-04 07:59:42,0.51340206185567
BHMNCPRAN01,600,210,2016-10-04 07:59:42,0.35
Broad Street,690,178,2016-10-04 07:59:42,0.2579710144927536
Bull Ring,3053,215,2016-10-04 07:59:42,0.07042253521126761
NIA Car Parks,1268,74,2016-10-04 07:59:42,0.0583596214511041
NIA South,788,65,2016-10-04 07:59:42,0.08248730964467005
Others-CCCPS105a,2009,709,2016-10-04 07:59:42,0.35291189646590343
Others-CCCPS119a,2803,195,2016-10-04 07:59:42,0.06956831965750981
Others-CCCPS133,4675,804,2016-10-04 07:59:42,0.17197860962566844
Others-CCCPS135a,3883,1081,2016-10-04 07:59:42,0.27839299510687615
Others-CCCPS202,2937,547,2016-10-04 07:59:42,0.18624446714334356
Others-CCCPS8,1322,445,2016-10-04 07:59:42,0.33661119515885024
Others-CCCPS98,3103,588,2016-10-04 07:59:42,0.1894940380277151
Shopping,1920,614,2016-10-04 07:59:42,0.31979166666666664
BHMBCCMKT01,577,64,2016-10-04 08:25:42,0.11091854419410745
BHMBCCPST01,317,98,2016-10-04 08:25:42,0.30914826498422715
BHMBCCSNH01,863,253,2016-10-04 08:25:42,0.2931633835457706
BHMBCCTHL01,387,129,2016-10-04 08:25:42,0.3333333333333333
BHMBRCBRG01,1010,88,2016-10-04 08:25:42,0.08712871287128712
BHMBRCBRG02,1194,95,2016-10-04 08:25:42,0.07956448911222781
BHMBRCBRG03,849,77,2016-10-04 08:25:42,0.09069493521790342
BHMEURBRD01,470,174,2016-10-04 08:25:42,0.3702127659574468
BHMEURBRD02,220,95,2016-10-04 08:25:42,0.4318181818181818
BHMMBMMBX01,687,302,2016-10-04 08:25:42,0.4395924308588064
BHMNCPHST01,1200,315,2016-10-04 08:25:42,0.2625
BHMNCPLDH01,720,446,2016-10-04 08:25:42,0.6194444444444445
BHMNCPNHS01,500,161,2016-10-04 08:25:42,0.322
BHMNCPNST01,485,267,2016-10-04 08:25:42,0.5505154639175258
BHMNCPPLS01,450,82,2016-10-04 08:25:42,0.18222222222222223
BHMNCPRAN01,600,292,2016-10-04 08:25:42,0.4866666666666667
Broad Street,690,269,2016-10-04 08:25:42,0.3898550724637681
Bull Ring,3053,260,2016-10-04 08:25:42,0.08516213560432362
NIA Car Parks,1268,107,2016-10-04 08:25:42,0.08438485804416404
NIA South,788,96,2016-10-04 08:25:42,0.1218274111675127
Others-CCCPS105a,2009,780,2016-10-04 08:25:42,0.38825286212045795
Others-CCCPS119a,2803,238,2016-10-04 08:25:42,0.0849090260435248
Others-CCCPS133,4675,911,2016-10-04 08:25:42,0.1948663101604278
Others-CCCPS135a,3883,1467,2016-10-04 08:25:42,0.3778006695853721
Others-CCCPS202,2937,665,2016-10-04 08:25:42,0.22642151855635
Others-CCCPS8,1322,478,2016-10-04 08:25:42,0.3615733736762481
Others-CCCPS98,3103,678,2016-10-04 08:25:42,0.21849822752175313
Shopping,1920,761,2016-10-04 08:25:42,0.3963541666666667
BHMBCCMKT01,577,80,2016-10-04 08:59:42,0.1386481802426343
BHMBCCPST01,317,109,2016-10-04 08:59:42,0.3438485804416404
