#{"t_start": 1778540287.4289503, "env_id": "None"}
r,l,t
-431.48,192,0.117607
-987.56,200,0.18061
72.08,60,0.198612
-444.15,193,0.256515
-1052.8,200,0.332941
-123.49,119,0.368936
97.91,67,0.386935
81.52,60,0.403455
-1094.28,200,0.460458
122.23,59,0.478473
-1150.56,200,0.542062
-1034.96,200,0.590989
12.77,77,0.612535
-1034.44,200,0.708596
300.24,4,0.715588
-939.64,200,0.998651
-1004.88,200,1.306859
-936.56,200,1.602809
-1142.2,200,1.886525
143.51,47,1.957052
-511.66,198,2.239846
-145.66,106,2.380551
-1050.08,200,2.685078
-1160.32,200,3.001012
-992.96,200,3.291503
-972.56,200,3.667444
-420.47,173,3.988263
-169.78,106,4.15369
-124.12,108,4.308728
-86.84,108,4.465283
105.19,59,4.615115
198.66,46,4.820284
-954.0,200,5.135983
-974.92,200,5.481972
-154.66,98,5.692024
246.45,25,5.738586
-402.27,165,6.001938
-1091.84,200,6.364654
26.73,89,6.501194
-944.08,200,6.872514
242.12,24,6.933024
165.91,51,7.015609
-1057.08,200,7.338197
-1079.0,200,7.640706
-210.1,138,7.881854
-59.19,113,8.096367
-1030.88,200,8.385554
-46.17,83,8.54662
-158.64,144,8.80626
121.04,48,8.89128
-265.79,137,9.109147
233.76,32,9.151146
-847.48,200,9.569375
190.43,35,9.636835
-14.76,108,9.825664
110.06,66,9.953068
-223.51,141,10.182376
264.9,10,10.205382
-349.11,165,10.500125
-146.29,119,10.698179
148.1,42,10.772933
-1049.68,200,11.081192
-991.84,200,11.484889
61.7,82,11.640249
100.48,72,11.7878
128.85,49,11.858361
233.25,37,11.909944
-432.18,182,12.271546
-123.01,127,12.461586
-1105.88,200,12.856758
-204.1,134,13.086787
106.05,69,13.243879
256.01,29,13.341415
194.69,41,13.411947
-1081.92,200,13.822405
-959.24,200,14.130989
236.64,44,14.202478
-983.52,200,14.609178
63.45,77,14.80303
53.89,77,14.949767
181.32,48,15.024307
211.9,42,15.099645
-1027.72,200,15.429579
125.05,69,15.554492
-468.53,179,15.924419
220.02,34,15.979387
22.23,83,16.114702
250.14,18,16.141699
-197.18,146,16.424244
-950.32,200,16.760267
169.74,50,16.84778
314.31,7,16.86078
307.05,13,16.891463
-1075.96,200,17.341434
-20.11,97,17.504035
297.06,10,17.521539
-132.57,123,17.744318
-163.18,130,17.974682
235.58,38,18.031875
-1096.56,200,18.354168
238.41,41,18.419067
240.36,32,18.46707
256.95,23,18.502074
305.9,6,18.510077
-324.53,167,18.801926
-991.04,200,19.138871
-1049.88,200,19.458046
184.22,50,19.567578
293.82,6,19.595722
195.58,46,19.715024
-1001.16,200,20.013651
-1058.64,200,20.31895
-973.08,200,20.800388
-99.35,133,21.145942
-43.46,118,21.341035
9.72,84,21.507332
-1002.28,200,21.854018
-1070.56,200,22.19077
276.78,22,22.244802
-1068.4,200,22.591011
126.98,62,22.703153
244.11,35,22.762684
112.05,69,22.875208
24.75,71,23.005319
-36.12,104,23.167363
311.94,22,23.202409
306.81,9,23.216909
217.92,44,23.276911
144.06,58,23.365537
-901.84,200,23.678267
-1001.76,200,24.017224
-325.45,147,24.28226
245.19,31,24.331792
204.19,35,24.382793
36.47,95,24.540759
-1009.28,200,25.030409
-367.83,153,25.285237
-1014.88,200,25.611063
175.52,40,25.674568
235.1,34,25.723092
-1111.12,200,26.03417
157.68,52,26.117679
-265.57,135,26.33677
-1061.84,200,26.760582
301.95,19,26.805592
126.76,68,26.917154
-1068.04,200,27.239338
252.86,26,27.274335
103.11,79,27.40488
277.35,27,27.449392
-90.66,122,27.647435
162.53,41,27.71045
154.14,62,27.814963
-917.08,200,28.115718
306.66,2,28.116718
-142.6,112,28.282233
-155.4,132,28.642472
307.14,10,28.656465
99.52,56,28.735986
-1004.48,200,29.114221
112.12,68,29.226516
285.3,14,29.245517
11.23,87,29.373539
291.48,8,29.391527
163.01,49,29.494075
13.13,89,29.651156
-939.6,200,30.020267
-1118.16,200,30.337868
179.43,43,30.421406
208.35,35,30.498407
200.39,39,30.576955
-396.79,177,30.881037
-163.66,126,31.096474
8.69,93,31.240354
293.82,6,31.245354
184.92,48,31.326592
140.04,40,31.397526
63.25,65,31.512688
-80.21,135,31.791281
280.95,23,31.826801
121.16,60,31.935203
296.65,9,31.949676
-4.87,93,32.102322
254.7,22,32.138851
103.99,67,32.249376
-1128.56,200,32.540937
233.46,22,32.571936
302.97,9,32.587935
-363.31,181,32.888159
2.55,91,33.0262
-984.48,200,33.349761
297.9,6,33.357759
61.89,77,33.510315
170.37,37,33.57842
177.24,48,33.656518
-35.56,100,33.817872
-1135.36,200,34.141971
114.18,54,34.22098
286.52,28,34.266498
52.58,74,34.422814
-109.13,103,34.636552
138.93,65,34.740741
303.81,9,34.753738
296.91,3,34.760738
-1049.08,200,35.205051
148.16,56,35.293613
1.68,104,35.439924
-74.32,112,35.611481
214.56,48,35.701932
256.58,38,35.760753
181.36,40,35.833684
264.06,14,35.85368
206.9,54,35.961212
-1115.12,200,36.307901
-1052.52,200,36.617679
317.64,8,36.631188
210.69,37,36.695189
117.43,51,36.786799
296.82,6,36.800438
285.45,21,36.834635
92.88,72,36.963631
215.07,47,37.03847
-1200.48,200,37.382207
-174.69,111,37.55982
278.81,13,37.604401
306.66,2,37.606401
-201.09,131,37.82674
270.78,26,37.866741
-1216.52,200,38.233341
292.79,19,38.266937
276.22,22,38.308276
316.65,5,38.316286
18.67,95,38.470695
329.97,9,38.485695
306.9,6,38.491696
-981.48,200,38.939252
306.66,2,38.952267
-59.98,106,39.139021
293.58,34,39.193614
-356.55,181,39.473897
-195.95,121,39.672938
150.9,70,39.800127
89.05,53,39.887773
-1019.08,200,40.239959
-1155.44,200,40.571334
236.85,33,40.621647
103.08,68,40.729933
-61.68,96,40.883359
226.44,32,40.944447
207.75,43,41.02508
-331.64,152,41.259717
71.85,57,41.355622
280.47,15,41.386969
207.54,30,41.434988
253.7,26,41.473993
233.94,34,41.534588
300.15,7,41.548712
251.85,33,41.604023
-108.54,110,41.881807
-29.67,105,42.048154
303.33,1,42.057659
298.79,19,42.084652
82.55,71,42.207029
135.75,55,42.300105
220.95,31,42.350998
-1138.08,200,42.70861
281.22,14,42.733125
264.63,19,42.768127
-14.13,95,42.954188
300.24,4,42.962188
-1029.72,200,43.293028
262.95,23,43.328561
314.9,6,43.347742
253.86,26,43.386773
-177.72,120,43.570644
268.6,36,43.624652
-48.56,100,43.792708
-1107.68,200,44.138675
184.85,45,44.214854
327.87,15,44.235794
165.42,50,44.316803
147.29,49,44.418139
173.85,45,44.49798
205.2,60,44.588855
310.23,7,44.609024
-136.36,100,44.766529
15.48,76,44.898385
316.89,9,44.912465
-463.34,166,45.333496
-46.38,90,45.465946
313.56,8,45.48293
132.9,62,45.578956
304.32,4,45.596487
123.67,51,45.696315
209.09,41,45.762287
178.58,50,45.876406
314.31,7,45.899622
306.81,9,45.918825
-281.3,138,46.199319
211.05,29,46.249842
285.45,21,46.298479
213.4,52,46.388163
-1193.56,200,46.691131
182.55,35,46.751682
328.22,10,46.788681
-76.86,110,47.049019
88.72,80,47.183608
278.2,24,47.219615
-128.39,97,47.380008
307.14,10,47.398025
303.57,5,47.408014
268.2,24,47.449554
277.2,20,47.512538
284.22,14,47.543066
319.98,6,47.551534
306.9,6,47.560559
-1129.24,200,47.885176
307.65,5,47.89918
247.53,25,47.959711
-1225.04,200,48.278285
-41.6,92,48.545645
341.94,18,48.579644
257.25,37,48.631658
117.99,55,48.735708
300.54,18,48.780709
-1035.28,200,49.146817
148.34,46,49.239331
200.91,47,49.323342
279.63,19,49.35863
152.16,56,49.44644
314.03,19,49.479454
167.85,41,49.551971
284.37,21,49.596204
197.93,41,49.669729
96.66,66,49.797259
195.71,31,49.854799
-1267.28,200,50.196809
-192.93,111,50.403862
-241.45,143,50.683715
227.73,41,50.77933
-1128.32,200,51.195444
237.87,27,51.244977
-208.36,108,51.469391
-49.21,95,51.678292
285.09,29,51.768817
319.98,6,51.789816
230.55,23,51.842446
264.58,42,52.016974
13.47,75,52.155047
316.89,9,52.169051
300.15,7,52.183061
176.55,27,52.223586
265.02,30,52.276673
259.05,17,52.304671
262.46,22,52.3442
248.55,19,52.37441
312.56,8,52.393641
88.63,79,52.523722
-434.68,160,52.843213
15.16,76,53.003933
290.32,8,53.021976
293.49,5,53.040479
-1303.04,200,53.392224
17.06,74,53.582509
-1263.92,200,53.918379
-151.03,121,54.112475
-431.25,159,54.397432
307.65,5,54.404431
86.76,60,54.504975
261.27,31,54.554295
303.33,1,54.554295
93.56,72,54.688364
-451.29,147,55.077998
