time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/episode_reward_ma100,time/total_timesteps,time/time_elapsed,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward
1,142.71428571428572,-397.18571428571437,881,-397.18571428571437,2048,2,,,,,,,,,,,,
2,140.93103448275863,-343.9413793103448,673,-343.9413793103448,4096,6,0.1608564616413787,0.37214696407318115,-0.6627344050444662,0.009892546,0.0003,10,0.07099609375,-0.010166486476373393,0.2,-0.007740705739706755,,
3,134.42222222222222,-313.0911111111111,656,-313.0911111111111,6144,9,0.052015678767929785,0.7629753947257996,-0.9832326106727123,0.015533514,0.0003,20,0.187890625,-0.018390375104354463,0.2,-0.010188454762101173,,
,,,,-308.7466666666667,8192,,0.0549900542217074,0.39224809408187866,-1.0177551675587893,0.011626143,0.0003,30,0.126611328125,-0.017589615484757813,0.2,-0.011075738817453384,200.0,-814.52
4,134.13333333333333,-308.7466666666667,588,,8192,13,,,,,,,,,,,,
5,138.36486486486487,-314.6304054054054,582,-314.6304054054054,10240,17,0.04293157110514585,0.6397087574005127,-0.9401650516316294,0.012097342,0.0003,40,0.15595703125,-0.017432987567735835,0.2,-0.014816507697105408,,
6,133.83516483516485,-297.43681318681325,585,-297.43681318681325,12288,20,0.08077445283997804,0.44265633821487427,-0.9877430461347103,0.013173259,0.0003,50,0.186669921875,-0.020075167364848313,0.2,-0.028052914887666702,,
7,128.61,-264.96,585,-264.96,14336,24,0.04571032702224329,0.5977136492729187,-1.009309839643538,0.0116883395,0.0003,60,0.109228515625,-0.014118498595780692,0.2,-0.04258328676223755,,
,,,,-271.652,16384,,0.10661154646077194,0.5097604990005493,-0.9641453387215734,0.01570385,0.0003,70,0.17861328125,-0.021486941200419097,0.2,-0.001708492636680603,200.0,-817.74
8,130.12,-271.652,574,,16384,28,,,,,,,,,,,,
9,127.19,-264.36350000000004,578,-264.36350000000004,18432,31,0.05760001360613387,0.7760353684425354,-0.9158472616225481,0.010668582,0.0003,80,0.1296875,-0.01442735307791736,0.2,0.018349584192037582,,
10,129.5,-272.1,581,-272.1,20480,35,0.08137522267643363,0.617152214050293,-0.8643463144078851,0.013791937,0.0003,90,0.166064453125,-0.017807729754713363,0.2,0.013086659833788872,,
11,131.81,-279.43850000000003,580,-279.43850000000003,22528,38,0.08363269596593455,0.5552281141281128,-0.9225790128111839,0.013117,0.0003,100,0.1548828125,-0.013415068668837193,0.2,0.03382548689842224,,
,,,,-280.99649999999997,24576,,0.051278481047484094,0.8020191788673401,-0.9540642069652676,0.013979083,0.0003,110,0.209423828125,-0.02038768659404013,0.2,0.005603792145848274,200.0,-810.47
12,132.26,-280.99649999999997,568,,24576,43,,,,,,,,,,,,
13,129.65,-277.203,568,-277.203,26624,46,0.07726510857464745,0.564588725566864,-1.0034347143024207,0.012576159,0.0003,120,0.13466796875,-0.012305334545089863,0.2,0.00471825897693634,,
14,125.28,-262.785,570,-262.785,28672,50,0.06661605223780498,0.5228413343429565,-0.9779027700424194,0.012071563,0.0003,130,0.14326171875,-0.01639941945031751,0.2,0.004884280264377594,,
15,127.14,-264.6015,568,-264.6015,30720,53,0.09823163914261386,0.15465134382247925,-0.8846885599195957,0.014609839,0.0003,140,0.1662109375,-0.018701403074373957,0.2,-0.009272843599319458,,
,,,,-260.687,32768,,0.08667290954326745,0.4374108910560608,-1.0297371910884976,0.013678057,0.0003,150,0.130908203125,-0.014466981962323188,0.2,-0.020448487251996994,200.0,-816.7199999999999
16,126.74,-260.687,562,,32768,58,,,,,,,,,,,,
17,124.55,-256.42,562,-256.42,34816,61,0.15003573070280254,0.3539474606513977,-0.9409938737750053,0.013433935,0.0003,160,0.13876953125,-0.0140015145909274,0.2,-0.007186662405729294,,
18,121.58,-247.81350000000006,562,-247.81350000000006,36864,65,0.07865088192920666,0.5007094144821167,-0.9134844549000263,0.011905386,0.0003,170,0.138916015625,-0.01065811735461466,0.2,-0.018458228558301926,,
19,126.69,-261.86650000000003,566,-261.86650000000003,38912,68,0.07808831440052018,0.7580913305282593,-0.9183973535895348,0.0139282625,0.0003,180,0.15732421875,-0.017275672854157164,0.2,-0.03818921744823456,,
,,,,-282.4805,40960,,0.06902052291552536,0.7150475978851318,-0.9423258081078529,0.015767384,0.0003,190,0.188525390625,-0.014745541027514264,0.2,-0.014388428069651127,200.0,-807.9
20,132.61,-282.4805,562,,40960,72,,,,,,,,,,,,
21,130.57,-278.589,564,-278.589,43008,76,0.07952104712021538,0.7431600689888,-0.8750386774539948,0.014383546,0.0003,200,0.180029296875,-0.015000490193779114,0.2,0.005324147641658783,,
22,125.56,-264.168,564,-264.168,45056,79,0.06524826220993418,0.49593687057495117,-0.9337804690003395,0.012149197,0.0003,210,0.13642578125,-0.014781455913907848,0.2,-0.05127112939953804,,
23,127.63,-272.5355,564,-272.5355,47104,83,0.11745536478119903,0.4408254623413086,-0.9044024508446455,0.014137829,0.0003,220,0.1392578125,-0.01536053593736142,0.2,0.053487710654735565,,
