#{"t_start": 1778011801.622571, "env_id": "None"}
r,l,t
-811.55,200,1.827821
-672.7,200,2.068969
-802.5,200,2.273253
-604.25,200,2.500476
-681.85,200,2.73153
57.1,26,2.757535
-525.05,200,2.991236
-524.3,200,3.203584
33.5,38,3.257764
-553.6,200,3.442657
99.0,4,3.446657
-31.8,51,3.487732
-42.05,79,3.551505
-500.55,200,3.766464
-499.8,200,5.524207
-34.6,77,5.616855
-530.85,200,5.822758
-10.55,46,5.860798
-500.7,200,6.105364
-14.5,52,6.177479
75.6,13,6.196561
-361.35,191,6.43093
-286.1,146,6.592653
-519.45,200,6.846807
-113.3,95,6.935354
-518.45,200,7.143661
-53.35,69,7.212442
-559.25,200,7.396304
-487.05,200,7.560624
-502.85,200,8.913364
-480.5,200,9.120403
100.0,1,9.123395
-489.85,200,9.381844
-549.0,200,9.570705
50.2,20,9.590838
93.7,5,9.59484
75.1,14,9.608863
-488.65,200,9.800973
-27.4,63,9.863978
-541.05,200,10.080191
-290.25,159,10.248592
73.6,11,10.260079
-521.4,200,10.439465
-103.3,89,10.522269
-513.15,200,10.749475
-476.65,200,12.277132
95.7,7,12.285132
-582.05,200,12.521815
5.6,45,12.569827
73.85,24,12.595828
-518.95,200,12.868753
-502.5,200,13.140271
94.85,3,13.143276
-573.55,200,13.338216
-331.55,195,13.532798
-47.8,63,13.598062
-33.95,62,13.683716
-495.3,200,13.892303
-614.75,200,14.158055
-528.65,200,14.352216
-478.7,200,16.722658
-276.1,165,16.871208
-170.9,120,17.010026
-67.85,61,17.072728
-270.9,159,17.224004
-491.65,200,17.49761
-551.55,200,17.694214
-25.4,47,17.763873
-498.8,200,18.000343
-520.45,200,18.196709
-509.55,200,18.427928
-171.4,108,18.575861
-256.6,131,18.783177
-468.0,200,19.067692
44.4,31,20.385098
82.75,9,20.394172
-514.8,200,20.572246
-472.95,200,20.792599
-491.7,200,20.974143
-460.6,200,21.181399
82.25,19,21.212336
-213.25,145,21.333398
96.85,5,21.337397
43.0,41,21.37242
97.85,6,21.378411
-478.85,200,21.628124
-532.45,200,21.913778
-34.15,65,21.966481
-538.15,200,22.195101
-553.6,200,22.365591
59.3,19,22.381514
-304.15,169,23.774954
100.0,1,23.775954
-531.4,200,23.963586
-220.65,123,24.162781
-475.05,200,24.387419
-381.75,185,24.619019
102.0,7,24.630121
-205.05,133,24.766224
-118.65,105,24.90154
-520.35,200,25.119354
-126.6,106,25.246945
75.65,23,25.265951
-154.25,107,25.351732
-510.8,200,25.541157
-277.75,146,25.736077
-547.55,200,25.943497
102.0,3,25.946495
-508.4,200,27.377449
-523.0,200,27.576927
-241.05,138,27.74048
-345.75,197,27.963959
64.0,13,27.974951
-545.95,200,28.139505
93.7,9,28.147501
