episode_id,algorithm,start_position,target_position,total_reward,total_steps,success,path_length,invalid_moves,collision_count,visited_cells,final_distance_to_goal,time_to_goal_steps
42,random,"[13, 3]","[5, 7]",-1255.9199999999994,200,False,191,0,9,52,11,
43,random,"[4, 13]","[9, 11]",72.60647058823534,63,True,51,0,12,22,0,63
44,random,"[12, 13]","[8, 4]",-1124.3199999999983,200,False,186,0,14,72,7,
45,random,"[6, 8]","[10, 4]",-181.92333333333357,57,True,54,0,3,28,0,57
46,random,"[11, 10]","[9, 11]",354.99,3,True,3,0,0,4,0,3
47,random,"[6, 5]","[10, 4]",-1219.6799999999987,200,False,193,0,7,80,10,
48,random,"[12, 11]","[10, 9]",224.70999999999998,19,True,18,0,1,13,0,19
49,random,"[13, 10]","[10, 4]",-1440.3599999999994,200,False,192,0,8,59,11,
50,random,"[11, 8]","[10, 4]",-122.39816326530615,49,True,49,0,0,23,0,49
51,random,"[1, 2]","[9, 11]",-651.8679661016945,177,True,177,0,0,58,0,177
52,random,"[3, 4]","[8, 4]",-489.91714285714215,110,True,105,0,5,44,0,110
53,random,"[7, 8]","[10, 6]",-242.29294117647038,86,True,85,0,1,33,0,86
54,random,"[12, 3]","[9, 11]",-1174.52,200,False,180,0,20,32,9,
55,random,"[3, 4]","[8, 4]",-567.1885714285715,68,True,63,0,5,29,0,68
56,random,"[9, 7]","[5, 7]",-1138.2399999999993,200,False,170,0,30,48,6,
57,random,"[2, 10]","[7, 3]",-165.17769230769255,107,True,104,0,3,62,0,107
58,random,"[8, 13]","[9, 11]",243.30857142857144,24,True,21,0,3,12,0,24
59,random,"[10, 10]","[6, 1]",-952.3910638297878,150,True,141,0,9,63,0,150
60,random,"[6, 12]","[5, 7]",-283.2430769230771,140,True,130,0,10,47,0,140
61,random,"[7, 1]","[5, 7]",-1073.7999999999988,200,False,185,0,15,66,3,
62,random,"[2, 8]","[9, 11]",-1208.3999999999987,200,False,190,0,10,71,8,
63,random,"[9, 10]","[9, 11]",311.90999999999997,3,True,3,0,0,3,0,3
64,random,"[8, 13]","[9, 11]",-1026.279999999998,200,False,188,0,12,85,13,
65,random,"[6, 12]","[5, 7]",-1091.719999999999,200,False,179,0,21,67,7,
66,random,"[3, 7]","[10, 4]",-1710.2799999999997,200,False,180,0,20,60,8,
67,random,"[11, 8]","[10, 4]",174.8342857142857,24,True,21,0,3,15,0,24
68,random,"[8, 8]","[5, 7]",-1073.9999999999995,200,False,190,0,10,51,2,
69,random,"[10, 10]","[7, 3]",176.25000000000003,40,True,40,0,0,26,0,40
70,random,"[10, 11]","[10, 9]",271.06857142857143,16,True,14,0,2,9,0,16
71,random,"[2, 13]","[10, 4]",-1989.920000000002,200,False,182,0,18,52,15,
72,random,"[2, 13]","[10, 4]",-1501.08,200,False,183,0,17,50,14,
73,random,"[12, 13]","[6, 2]",-1576.6399999999996,200,False,185,0,15,68,14,
74,random,"[7, 2]","[10, 9]",-59.920000000000016,62,True,60,0,2,27,0,62
75,random,"[3, 2]","[10, 9]",-1085.1999999999991,200,False,184,0,16,86,14,
76,random,"[4, 9]","[11, 3]",-246.42370078740208,137,True,127,0,10,60,0,137
77,random,"[7, 12]","[7, 3]",-1394.8799999999999,200,False,171,0,29,40,12,
78,random,"[5, 5]","[1, 11]",-1560.0399999999995,200,False,199,0,1,63,15,
79,random,"[8, 5]","[10, 9]",-1116.6799999999998,200,False,187,0,13,55,7,
80,random,"[9, 10]","[2, 1]",-1916.800000000001,200,False,192,0,8,66,8,
81,random,"[11, 9]","[7, 3]",-1260.1599999999992,200,False,183,0,17,74,5,
42,greedy_shortest_path,"[13, 3]","[5, 7]",384.96,12,True,12,0,0,13,0,12
43,greedy_shortest_path,"[4, 13]","[9, 11]",368.31,7,True,7,0,0,8,0,7
44,greedy_shortest_path,"[12, 13]","[8, 4]",388.28999999999996,13,True,13,0,0,14,0,13
45,greedy_shortest_path,"[6, 8]","[10, 4]",327.64,8,True,8,0,0,9,0,8
46,greedy_shortest_path,"[11, 10]","[9, 11]",354.99,3,True,3,0,0,4,0,3
47,greedy_shortest_path,"[6, 5]","[10, 4]",361.65,5,True,5,0,0,6,0,5
48,greedy_shortest_path,"[12, 11]","[10, 9]",358.32,4,True,4,0,0,5,0,4
